id,age,major_occ,graphic_design_exp,artist_exp,start_datetime,end_datetime_trial1,end_datetime_trial2,exp1_trial0_mood,exp1_trial0_colors_0,exp1_trial0_colors_1,exp1_trial0_colors_2,exp1_trial0_colors_3,exp1_trial0_colors_4,exp1_trial0_time,exp1_trial0_clicks,exp1_trial1_mood,exp1_trial1_colors_0,exp1_trial1_colors_1,exp1_trial1_colors_2,exp1_trial1_colors_3,exp1_trial1_colors_4,exp1_trial1_time,exp1_trial1_clicks,exp1_trial2_mood,exp1_trial2_colors_0,exp1_trial2_colors_1,exp1_trial2_colors_2,exp1_trial2_colors_3,exp1_trial2_colors_4,exp1_trial2_time,exp1_trial2_clicks,exp1_trial3_mood,exp1_trial3_colors_0,exp1_trial3_colors_1,exp1_trial3_colors_2,exp1_trial3_colors_3,exp1_trial3_colors_4,exp1_trial3_time,exp1_trial3_clicks,exp1_trial4_mood,exp1_trial4_colors_0,exp1_trial4_colors_1,exp1_trial4_colors_2,exp1_trial4_colors_3,exp1_trial4_colors_4,exp1_trial4_time,exp1_trial4_clicks,exp1_trial5_mood,exp1_trial5_colors_0,exp1_trial5_colors_1,exp1_trial5_colors_2,exp1_trial5_colors_3,exp1_trial5_colors_4,exp1_trial5_time,exp1_trial5_clicks,exp1_trial6_mood,exp1_trial6_colors_0,exp1_trial6_colors_1,exp1_trial6_colors_2,exp1_trial6_colors_3,exp1_trial6_colors_4,exp1_trial6_time,exp1_trial6_clicks,exp1_trial7_mood,exp1_trial7_colors_0,exp1_trial7_colors_1,exp1_trial7_colors_2,exp1_trial7_colors_3,exp1_trial7_colors_4,exp1_trial7_time,exp1_trial7_clicks,exp2_trial0_curr_emotion,exp2_trial0_curr_emotion_strength,exp2_trial0_emotion_0,exp2_trial0_emotion_1,exp2_trial0_emotion_2,exp2_trial0_emotion_3,exp2_trial0_emotion_4,exp2_trial0_best_category,exp2_trial0_best_category_strength,exp2_trial0_second_best_category,exp2_trial0_second_best_category_strength,exp2_trial0_perception,exp2_trial0_light,exp2_trial0_usage,exp2_trial0_usage_strength,exp2_trial0_time,exp2_trial0_imageName,exp2_trial0_palette,exp2_trial1_curr_emotion,exp2_trial1_curr_emotion_strength,exp2_trial1_emotion_0,exp2_trial1_emotion_1,exp2_trial1_emotion_2,exp2_trial1_emotion_3,exp2_trial1_emotion_4,exp2_trial1_best_category,exp2_trial1_best_category_strength,exp2_trial1_second_best_category,exp2_trial1_second_best_category_strength,exp2_trial1_perception,exp2_trial1_light,exp2_trial1_usage,exp2_trial1_usage_strength,exp2_trial1_time,exp2_trial1_imageName,exp2_trial1_palette,exp2_trial2_curr_emotion,exp2_trial2_curr_emotion_strength,exp2_trial2_emotion_0,exp2_trial2_emotion_1,exp2_trial2_emotion_2,exp2_trial2_emotion_3,exp2_trial2_emotion_4,exp2_trial2_best_category,exp2_trial2_best_category_strength,exp2_trial2_second_best_category,exp2_trial2_second_best_category_strength,exp2_trial2_perception,exp2_trial2_light,exp2_trial2_usage,exp2_trial2_usage_strength,exp2_trial2_time,exp2_trial2_imageName,exp2_trial2_palette,exp2_trial3_curr_emotion,exp2_trial3_curr_emotion_strength,exp2_trial3_emotion_0,exp2_trial3_emotion_1,exp2_trial3_emotion_2,exp2_trial3_emotion_3,exp2_trial3_emotion_4,exp2_trial3_best_category,exp2_trial3_best_category_strength,exp2_trial3_second_best_category,exp2_trial3_second_best_category_strength,exp2_trial3_perception,exp2_trial3_light,exp2_trial3_usage,exp2_trial3_usage_strength,exp2_trial3_time,exp2_trial3_imageName,exp2_trial3_palette,exp2_trial4_curr_emotion,exp2_trial4_curr_emotion_strength,exp2_trial4_emotion_0,exp2_trial4_emotion_1,exp2_trial4_emotion_2,exp2_trial4_emotion_3,exp2_trial4_emotion_4,exp2_trial4_best_category,exp2_trial4_best_category_strength,exp2_trial4_second_best_category,exp2_trial4_second_best_category_strength,exp2_trial4_perception,exp2_trial4_light,exp2_trial4_usage,exp2_trial4_usage_strength,exp2_trial4_time,exp2_trial4_imageName,exp2_trial4_palette
5cc89a457ef1c400046e39a7,22,Computer Science,1,1,"Tue, 30 Apr 2019 18:39:38 GMT","Tue, 30 Apr 2019 18:41:40 GMT","Tue, 30 Apr 2019 18:56:12 GMT",calm,#aad2e0,#f1d9ca,#add9a1,#8ad2f1,#ddd8ba,21.466,5,positive,#23bf0c,#f3d027,#f9468c,#aad2e0,#8ad2f1,17.194,5,trustworthy,#423fa8,#1b4c79,#0073aa,#30355f,#9796bb,11.528,5,negative,#3c3c3c,#f80f19,#920000,#899390,#C91e11,20.424,6,disturbing,#ff8000,#69301d,#51692b,#116160,#3c3c3c,14.448,5,serious,#899390,#6e746a,#ddd8ba,#a78f8d,#3c3c3c,18.077,11,playful,#ddfb0c7,#aad2e0,#add9a1,#f9468c,#00beb9,9.137,5,exciting,#ddfb0c7,#f3d027,#00beb9,#32bff2,#23bf0c,,,serious,1,calm,serious,unexcited,relaxed,trustworthy,calm,,serious,4,It is easy on the eyes and makes the infographic approachable and easy to read.,1,0,3,209.829,introverts,calm,serious,1,bold,calm,relaxed,trustworthy,positive,trustworthy,,serious,3,A darker palette makes it a bit more serious than the first one.,1,2,3,585.043,commodities,trustworthy,calm,1,calm,relaxed,positive,uplifted,playful,positive,,playful,3,"Yes, the lighter background and text are more playful and present the info in a more positive light.",2,0,4,668.179,shopping,positive,serious,1,serious,bland,bored,negative,unexcited,serious,,negative,2,The mostly-gray palette makes the infographic much more bland and boring.,0,1,4,785.707,burger,negative,serious,3,serious,negative,bland,bored,unexcited,,serious,negative,3,"Similar to the last one, this is a much more bland and serious palette and present the info in a more negative light.",0,1,3,837.279,gaming,negative
5cc8efc56765220004bf4fc0,53,Electrical Engineer,1,1,"Wed, 01 May 2019 00:29:44 GMT","Wed, 01 May 2019 00:33:19 GMT","Wed, 01 May 2019 01:00:53 GMT",calm,#add9a1,#8ad2f1,#d4d4d4,#b7de55,#83b3e3,45.021,6,positive,#f9468c,#ddfb0c7,#23bf0c,#32bff2,#30355f,31.041,8,trustworthy,#eac793,#a78f8d,#845145,#aad2e0,#83b3e3,30.926,5,negative,#3c3c3c,#30355f,#69301d,#845145,#51692b,19.777,5,disturbing,#423fa8,#30355f,#335671,#a857aa,#6d6eb9,29.534,10,serious,#ddd8ba,#00beb9,#9796bb,#aad2e0,#add9a1,17.925,5,playful,#f9468c,#f80f19,#920000,#423fa8,#a857aa,12.851,5,exciting,#920000,#ff8000,#0073aa,#1b4c79,#C91e11,,,Uninterested,1,Boring,Simple,Sad,Calm,Conflicted,negative,,serious,3,Yes. It is not appalling and not interested,1,1,4,645.54,introverts,calm,Contrast,1,Shiny,Interesting,Colorful,Playful,Happy,playful,,positive,4,Yes. It grabs your attention and try to get more information.,2,0,4,906.107,commodities,exciting,Serious,1,Interesting,Colorful,Positive,Attractive,Exciting,serious,,positive,4,Yes. It seems to indicate seriousness of the information,2,0,5,1099.655,shopping,serious,Bland,1,Calm,Neutral,Factual,Informative,Uninspired,calm,,serious,3,Yes. It is nit exciting or attractive. It is plain.,1,2,4,1339.533,burger,positive,Playful,1,Positive,Helpful,Interesting,Neutral,Calm,,playful,positive,4,Yes. It gives an optimistic and playful impression.,2,0,4,1639.636,gaming,negative
5cc8f0adcb006c00048adcb0,53,Engineering,3,3,"Wed, 01 May 2019 00:28:40 GMT","Wed, 01 May 2019 00:32:18 GMT","Wed, 01 May 2019 01:04:47 GMT",calm,#aad2e0,#8ad2f1,#423fa8,#0572cd,#0073aa,30.871,8,positive,#ddfb0c7,#f3d027,#ffab1c,#ff8000,#b7de55,14.44,6,trustworthy,#51692b,#5a922d,#a5b34b,#23bf0c,#b7de55,43.74,11,negative,#3c3c3c,#845145,#30355f,#69301d,#920000,18.324,5,disturbing,#a857aa,#863e85,#f9468c,#6e746a,#3c3c3c,36.193,10,serious,#eac793,#9796bb,#ddd8ba,#f1d9ca,#d4d4d4,22.295,5,playful,#f80f19,#ddfb0c7,#0572cd,#f3d027,#23bf0c,13.786,5,exciting,#C91e11,#f80f19,#920000,#f9468c,#a857aa,,,calm,4,calm,serious,positive,trustworthy,positive,calm,,serious,3,"It is to soft colors, makes you sleepy",1,2,3,628.658,introverts,positive,positive,4,thrusworthy,serius,positive,exciting,calm,positive,,serious,3,"Information looks like something good, positive",2,0,3,1089.712,commodities,trustworthy,Negative,3,Negative,Serious,disappointed,sad,distracted,negative,,serious,2,"does not seem interesting, kind of boring.",1,1,3,1506.166,shopping,trustworthy,happy,4,excited,happy,positive,interested,optimistic,exciting,,positive,4,"Yes, it makes it lively.",2,0,5,1711.039,burger,playful,Happy,4,positive,anticipation,positive,interested,playful,,positive,playful,4,it is a color that invites to play,2,0,4,1922.892,gaming,playful
5cc9aba203111a0004112060,21,Bioengineering ,3,5,"Wed, 01 May 2019 13:45:48 GMT","Wed, 01 May 2019 13:50:24 GMT","Wed, 01 May 2019 14:22:25 GMT",calm,#f1d9ca,#aad2e0,#b7de55,#eac793,#9796bb,69.639,5,positive,#ffab1c,#f3d027,#ddfb0c7,#23bf0c,#32bff2,31.36,5,trustworthy,#863e85,#a857aa,#30355f,#335671,#0073aa,56.872,5,negative,#f80f19,#C91e11,#920000,#6e746a,#3c3c3c,13.841,5,disturbing,#ddfb0c7,#a5b34b,#f80f19,#C91e11,#3c3c3c,25.401,5,serious,#899390,#6e746a,#3c3c3c,#335671,#116160,21.988,5,playful,#f3d027,#f9468c,#23bf0c,#32bff2,#a857aa,31.428,5,exciting,#f80f19,#ff8000,#f3d027,#f9468c,#23bf0c,,,Depressed,1,Sadness,Importance,Calm,Serious,Bored,serious,,negative,3,The colors have a very downcast tone to them which makes all the data presented take on a negative connotation.,0,1,4,558.226,introverts,negative,Calm,5,Calm,Peaceful,Positive,Helpful,Friendly,calm,,trustworthy,4,"The colors are light and calming, making the overall effect of the graphic seem helpful and positive.",2,0,5,987.875,commodities,calm,Happy,4,Playful,Energetic,Fun,Happy,Positive,playful,,positive,3,"The colors used are bright and energetic, which leads to thinking the graphic is friendly and positive.",2,0,3,1560.139,shopping,calm,Energetic,5,Energetic,Happy,Cheerful,Playful,Fun,exciting,,playful,3,The colors are almost neon with their intensity which draw attention and give an exciting feeling.,2,0,4,1786.868,burger,playful,Playful,5,Playful,Fun,Happy,Exciting,Innocent,,playful,exciting,4,The bright backdrop makes the graphic exciting and energetic and gives the information the same energy.,2,0,4,1881.493,gaming,trustworthy
5cc9b583198bf700045cfa3b,22,Student,2,3,"Wed, 01 May 2019 14:51:41 GMT","Wed, 01 May 2019 14:54:23 GMT","Wed, 01 May 2019 15:04:34 GMT",calm,#83b3e3,#ddd8ba,#aad2e0,#a2ccc0,#8ad2f1,34.83,7,positive,#f3d027,#ffab1c,#32bff2,#23bf0c,#f9468c,25.144,7,trustworthy,#dfb0c7,#aad2e0,#5a922d,#1b4c79,#6d6eb9,31.985,11,negative,#335671,#899390,#3c3c3c,#30355f,#1b4c79,11.552,5,disturbing,#51692b,#845145,#ddd8ba,#6e746a,#899390,21.266,7,serious,#899390,#ddd8ba,#d4d4d4,#a78f8d,#1b4c79,11.601,5,playful,#ddfb0c7,#f3d027,#ff8000,#23bf0c,#6d6eb9,16.254,5,exciting,#ddfb0c7,#f3d027,#23bf0c,#32bff2,#f9468c,,,Indifferent,1,Intrigue,Calm,Serious,Boring,Dull,serious,,calm,3,Yes. How you frame the topic could indicate how you want readers to feel about it,0,1,4,187.543,introverts,trustworthy,Happy,1,Exciting,Happy,Energetic,Positive,N/A,exciting,,playful,4,"Yes, it makes me excited",2,0,4,301.139,commodities,positive,Light,1,Positive,Calm,Interest,Trustworthy,N/A,positive,,calm,4,"Yes, I expect the topic of info graphic to be playful.",2,0,4,388.987,shopping,calm,Surprised,1,Wow much red,Surprised,exciting,N/A,N/A,exciting,,playful,3,Strong color makes me think that topic will be important.,1,2,4,498.682,burger,disturbing,Serious,1,Serious,Dull,Maybe boring,N/A,N/A,,serious,disturbing,2,It‰Ûªs about games but the colors aren‰Ûªt exciting,1,2,3,587.564,gaming,trustworthy
5cc9b7c0c7390a00046ffcd3,21,Geosciences ,1,1,"Wed, 01 May 2019 14:47:52 GMT","Wed, 01 May 2019 14:52:20 GMT","Wed, 01 May 2019 15:14:07 GMT",calm,#aad2e0,#9796bb,#a2ccc0,#8ad2f1,#83b3e3,105.347,9,positive,#f3d027,#ffab1c,#ff8000,#b7de55,#23bf0c,39.847,6,trustworthy,#f9468c,#add9a1,#b7de55,#ffab1c,#aad2e0,52.733,8,negative,#920000,#69301d,#863e85,#3c3c3c,#845145,12.025,5,disturbing,#3c3c3c,#69301d,#920000,#845145,#6e746a,17.245,8,serious,#920000,#C91e11,#0073aa,#863e85,#69301d,16.686,5,playful,#f3d027,#ffab1c,#f9468c,#ff8000,#ddfb0c7,9.037,6,exciting,#f3d027,#ffab1c,#f9468c,#ddfb0c7,#ff8000,,,Indifferent,1,Calm,Serious,Informative,Serious,Negative,serious,,negative,3,"Yes. I know it is trying to be informative, but some of the colors are hard to distinct and as such it gives off a more serious vibe.",0,1,4,290.332,introverts,serious,Indifferent,1,Anger,Serious,Strong,Demanding,Triumph,serious,,negative,4,"Yes. I know the graphic is trying to inform about the major resources found in this region, but the the lack of different color and overuse of red gives off more serious and angry vibe.",1,1,4,514.835,commodities,disturbing,Confused,1,Confusion,Serious,Negative,Boredom,Regret,serious,,negative,5,Yes. I know the image has nothing negative say but the lack of color presents it in that way.,1,1,5,720.032,shopping,disturbing,Indifference,4,Boredom,Calm,Indifference,Unsatisfaction,Uninterested,calm,,negative,4,Yes. The lack of color almost makes me not want to read it despite it being informative.,1,2,5,917.583,burger,negative,Boredom,1,Boredom,Indifference,Calm,Uninterested,Unamused,,calm,serious,3,Yes. The lack of color makes me uninterested even though it is informative.,1,2,5,1245.31,gaming,negative
5cc9d537b421da00047812fa,20,Computer Science,1,1,"Wed, 01 May 2019 17:10:19 GMT","Wed, 01 May 2019 17:12:00 GMT","Wed, 01 May 2019 17:19:54 GMT",calm,#8ad2f1,#83b3e3,#d4d4d4,#9796bb,#0073aa,20.385,7,positive,#f9468c,#ff8000,#f3d027,#ffab1c,#ddfb0c7,13.104,6,trustworthy,#1b4c79,#0073aa,#335671,#0572cd,#30355f,11.49,5,negative,#69301d,#a5b34b,#ddfb0c7,#f80f19,#C91e11,21.255,5,disturbing,#f80f19,#C91e11,#920000,#69301d,#845145,9.348,5,serious,#3c3c3c,#1b4c79,#6d6eb9,#0572cd,#423fa8,10.233,5,playful,#ff8000,#f3d027,#ffab1c,#f9468c,#ddfb0c7,6.913,5,exciting,#ff8000,#f3d027,#ffab1c,#f9468c,#ddfb0c7,,,Serious,1,Serious,Solemn,Sad,Dull,Bored,serious,,trustworthy,5,It makes me take the information more seriously because it is displayed in very professional and muted colors.,1,2,4,152.989,introverts,trustworthy,Negative,1,Bad,Poor,Serious,Sad,Dark,negative,,disturbing,3,Makes me feel like something really bad has happened,0,1,5,242.24,commodities,negative,Overwhelmed,5,Shocked,Scared,Angry,Mad,Upset,exciting,,negative,4,The red was overwhelming and in my face so it made me like the graphic less,0,1,3,332.247,shopping,exciting,Calm,1,Calm,Placid,Trusting,Lack of urgency,Unimportant,calm,,trustworthy,4,It reduces my sense of urgency because it is such calming graphic so I don't take the material seriously,1,2,4,404.51,burger,calm,Excited,1,Excited,Playful,Eager,---,--,,exciting,playful,4,--,1,2,3,470.146,gaming,exciting
5cc9d90af8941a0004a8d09f,20,Computer Science,2,1,"Wed, 01 May 2019 17:19:07 GMT","Wed, 01 May 2019 17:22:33 GMT","Wed, 01 May 2019 17:36:10 GMT",calm,#f1d9ca,#ddd8ba,#add9a1,#eac793,#aad2e0,22.495,5,positive,#ffab1c,#f3d027,#51692b,#845145,#1b4c79,50.078,5,trustworthy,#51692b,#30355f,#6e746a,#899390,#335671,70.029,11,negative,#920000,#C91e11,#f80f19,#a5b34b,#5a922d,8.115,5,disturbing,#116160,#335671,#845145,#69301d,#f9468c,9.403,5,serious,#ddd8ba,#6e746a,#899390,#845145,#3c3c3c,15.614,5,playful,#ddfb0c7,#aad2e0,#f9468c,#add9a1,#a2ccc0,8.528,5,exciting,#6d6eb9,#f9468c,#32bff2,#0572cd,#920000,,,Neutral,1,Normal,Calm,N/A,N/A,N/A,calm,,playful,3,No,1,2,4,220.418,introverts,exciting,Slightly negative,1,Surprised,Confused,N/A,N/A,N/A,negative,,disturbing,4,"It's hard to read, so it makes it less appealing",0,1,4,390.143,commodities,playful,Shocked,1,Awkward,Annoyed,N/A,N/A,N/A,negative,,serious,4,"No, but it is slightly difficult to read",0,1,4,566.71,shopping,exciting,Neutral,1,Hungry,N/A,N/A,N/A,N/A,trustworthy,,serious,5,"Makes me hungrier, so more interesting",1,2,4,707.15,burger,disturbing,Neutral,1,Calm,curious,N/A,N/A,N/A,,calm,trustworthy,5,NONE,1,2,5,812.724,gaming,disturbing
5cc9dc303d6df600041a0b86,21,Computer Science,1,2,"Wed, 01 May 2019 17:19:24 GMT","Wed, 01 May 2019 17:27:04 GMT","Wed, 01 May 2019 17:49:36 GMT",calm,#8ad2f1,#b7de55,#ddd8ba,#aad2e0,#5a922d,145.768,33,positive,#f3d027,#32bff2,#23bf0c,#ffab1c,#ddfb0c7,28.266,11,trustworthy,#f3d027,#51692b,#a5b34b,#f1d9ca,#ddd8ba,62.342,21,negative,#920000,#6e746a,#00beb9,#845145,#C91e11,63.767,24,disturbing,#3c3c3c,#920000,#6e746a,#69301d,#C91e11,92.671,36,serious,#3c3c3c,#6e746a,#899390,#ddd8ba,#d4d4d4,46.633,23,playful,#ddfb0c7,#f9468c,#ff8000,#f3d027,#ffab1c,9.654,9,exciting,#ffab1c,#ff8000,#f3d027,#32bff2,#ddfb0c7,,,Dislike,3,Dislike,Confusion,Not effective,N/A,N/A,playful,,exciting,3,"Content is interesting, but the palette bothers me. Some of the colors don't really match like the pink and the combination of colors used like pink, yellow, and orange don't look very good together, in my opinion.",1,0,4,353.401,introverts,exciting,Dislike,4,Dislike,Confused,Frustration,Intrigued,N/A,playful,,exciting,4,"The content seems more serious, but the color palette is more playful which is jarring. The color palette is also hard on the eyes so it's hard to read which is frustrating.",1,0,4,568.461,commodities,exciting,Intrigued,3,Positive,Intrigued,Confused,N/A,N/A,serious,,trustworthy,4,"I am taking this infographic more seriously than I should be, considering it's about shopping which I don't care about. However, the the red colors don't seem to make much sense for when people prefer to shop.",1,0,4,990.541,shopping,serious,Interested,2,Like,Interested,N/A,N/A,N/A,calm,,positive,5,The color palette doesn't seem to match as I would imagine it to be more playful and use colors associated with burgers.,1,2,4,1186.579,burger,positive,Tired,4,Tired,Contradictory,N/A,N/A,N/A,,negative,serious,5,"The content seems to be pretty positive, but the color palette is more serious and negative. Overall, the colors make me more depressed and tired.",2,1,5,1342.89,gaming,negative
5cc9e548b0d87500044f0ebe,24,Information Science,2,3,"Wed, 01 May 2019 18:03:16 GMT","Wed, 01 May 2019 18:09:40 GMT","Wed, 01 May 2019 18:28:24 GMT",calm,#a857aa,#00beb9,#8ad2f1,#9796bb,#6d6eb9,52.288,7,positive,#23bf0c,#ff8000,#ddfb0c7,#00beb9,#32bff2,83.925,8,trustworthy,#69301d,#30355f,#1b4c79,#f9468c,#3c3c3c,37.818,9,negative,#f80f19,#C91e11,#920000,#899390,#6e746a,19.433,5,disturbing,#51692b,#335671,#a78f8d,#add9a1,#116160,114.301,5,serious,#3c3c3c,#1b4c79,#920000,#899390,#6e746a,25.146,8,playful,#9796bb,#8ad2f1,#a2ccc0,#add9a1,#aad2e0,23.656,10,exciting,#f9468c,#ff8000,#ddfb0c7,#00beb9,#23bf0c,,,Tired,4,Sad,Tired,Confused,Strained,Upset,serious,,negative,3,"The similar colors at the bottom made me feel more bleh about the entire thing like I didn't want to read it. Also, the red is off putting.",0,1,4,286.334,introverts,disturbing,"I feel very calm, like, without even reading it, I can trust the information. Regardless of placing, everything seems in the right spot.",5,Relaxed,Pleasant,Tranquil,Satisfied,Positive,calm,,trustworthy,5,"Yes, the deep blue is very soothing and with the contrast of the yellow, I feel like I'm drawn right where the information is.",1,0,4,517.397,commodities,trustworthy,Frustrated,1,Strained,Putt-off,Frustrated,Gives me a headache,Displeased,playful,,exciting,5,"Yes, the light colors are playful, but very annoying to look at when trying to read. The whole thing gives me a headache to look at due to the contrast.",2,0,3,738.415,shopping,positive,Content,1,Hungry,Strained,Ease,Positive,Silly,positive,,playful,4,Yeah of it makes the information not as serious as it should be. Its confusing and the contrast also make it more difficult to read.,2,0,3,941.973,burger,positive,Loving,4,Loving,Exciting,Happy,Relaxed,Content,,playful,exciting,4,Yeah it makes me feel more playful with the bright colors.,2,0,5,1107.106,gaming,playful
